MMWR_Year,MMWR_Week,Date,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING
2015,11,2015-03-15,2,NA,12,3,NA,NA,NA,3,12,3,NA,NA,NA,NA,NA,1,1,9,1,13,4,3,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,12,35,NA,NA,NA,NA,NA,NA,1
2015,12,2015-03-22,1,4,6,1,NA,NA,NA,NA,7,17,NA,NA,NA,1,NA,1,NA,7,3,7,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,16,23,NA,NA,NA,NA,NA,NA,NA
2015,13,2015-03-29,1,4,3,4,NA,NA,NA,NA,15,6,NA,NA,NA,NA,NA,1,NA,11,3,6,NA,4,NA,5,NA,1,3,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,16,NA,NA,2,NA,NA,NA,6,NA
2015,14,2015-04-05,NA,1,16,2,NA,NA,NA,1,9,4,NA,NA,NA,1,NA,3,8,8,1,8,10,7,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,9,19,NA,3,NA,NA,NA,7,2
2015,15,2015-04-12,NA,4,15,1,NA,NA,NA,2,8,4,NA,NA,NA,NA,NA,NA,NA,8,4,12,NA,9,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,10,23,NA,NA,NA,NA,NA,6,NA
2015,16,2015-04-19,NA,1,11,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,1,1,6,3,20,5,6,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,9,12,NA,2,NA,NA,NA,7,NA
2015,17,2015-04-26,NA,3,17,2,NA,NA,NA,1,5,1,NA,NA,NA,NA,NA,2,NA,9,3,6,NA,10,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,15,17,NA,2,NA,NA,NA,2,4
2015,18,2015-05-03,2,1,11,5,NA,NA,NA,NA,6,8,NA,NA,NA,1,NA,NA,NA,6,5,13,NA,4,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,8,29,NA,NA,NA,NA,NA,4,1
2015,19,2015-05-10,NA,1,16,2,NA,NA,NA,NA,13,7,NA,NA,NA,NA,NA,NA,NA,3,4,7,5,5,NA,2,NA,1,6,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,8,41,NA,1,NA,NA,NA,1,NA
2015,20,2015-05-17,NA,2,13,NA,NA,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA,5,4,1,5,NA,7,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,8,21,NA,2,NA,NA,NA,1,NA
2015,21,2015-05-24,1,2,10,4,NA,NA,NA,1,6,5,3,NA,NA,NA,NA,NA,NA,3,NA,4,10,5,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,13,23,NA,2,NA,NA,NA,6,NA
2015,22,2015-05-31,NA,1,5,2,NA,NA,NA,1,8,3,NA,NA,NA,NA,NA,NA,NA,2,2,9,NA,3,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,20,NA,NA,3,NA,NA,NA,10,28,NA,NA,NA,NA,NA,5,NA
2015,23,2015-06-07,NA,1,7,NA,NA,NA,NA,4,8,3,NA,NA,NA,NA,NA,2,NA,2,3,5,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,13,NA,NA,4,NA,NA,NA,8,24,NA,1,NA,NA,NA,4,NA
2015,24,2015-06-14,1,2,8,1,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,6,NA,4,2,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,4,NA,NA,NA,9,13,NA,NA,NA,NA,NA,NA,NA
2015,25,2015-06-21,NA,NA,8,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,3,1,2,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,2,NA,NA,NA,5,16,NA,NA,NA,NA,NA,3,NA
